;Unnamed: 0;dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp;date
5929;5929;11/01/2020;11;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-11
5930;5930;10/01/2020;10;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-10
5931;5931;09/01/2020;9;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-09
5932;5932;08/01/2020;8;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-08
5933;5933;07/01/2020;7;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-07
5934;5934;06/01/2020;6;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-06
5935;5935;05/01/2020;5;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-05
5936;5936;04/01/2020;4;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-04
5937;5937;03/01/2020;3;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-03
5938;5938;02/01/2020;2;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-02
5939;5939;01/01/2020;1;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-01
5940;5940;31/12/2019;31;12;2019;0;0;Germany;DE;DEU;82927922,0;Europe;2019-12-31
